ID,Listing Name,Host ID,Host Name,Borough,Neighborhood,Latitude,Longitude,Room Type,Price,Min Nights,Number of Reviews,Last Review,Reviews Per Month,Listings Per Host,Days Available
1457003,Room in art loft for eccentric type,4933487,Brandon,Brooklyn,Bushwick,40.6904306,-73.90300361,Private room,60,2,1,17/02/2015,0.3,1,358
288043,West Village/Meat Packing Apt.,1497569,Alex,Manhattan,West Village,40.73890631,-74.00860018,Entire home/apt,222,1,15,17/05/2015,0.6,1,357
6213779,"1,205 ft Classic NoHo Loft",29769754,Tom,Manhattan,Greenwich Village,40.72763388,-73.9955603,Private room,149,4,0,,,1,51
1186034,Apt at 5th and Union in Park Slope,6485298,Walter,Brooklyn,Park Slope,40.67378434,-73.97818605,Entire home/apt,150,2,2,30/04/2014,0.1,1,332
1448186,2-Bed Central Park Columbus Circle,9311679,Zach,Manhattan,Upper West Side,40.7692682,-73.98629335,Entire home/apt,275,2,58,11/05/2015,2.6,1,292
5660653,Bushwick - Charming and quiet room,21427305,Colin,Brooklyn,Bushwick,40.70437573,-73.92591298,Private room,60,1,3,31/05/2015,3,1,283
292266,Sunny and spacious bedroom,1513294,Urszula,Brooklyn,Bushwick,40.69755032,-73.91187304,Private room,65,2,2,17/09/2012,0,1,296
5084887,Clean & Warm East Village Escape!,26265097,Nancy,Manhattan,East Village,40.72949628,-73.98398257,Entire home/apt,100,5,1,6/02/2015,0.3,1,109
3676789,East Williamsburg B&B Hostel,18652899,NY Loft Hostel,Brooklyn,Williamsburg,40.70378501,-73.93471332,Shared room,60,1,0,,,1,365
689157,Stunning 1500 Sq Ft Designer Loft,1185742,Alyssa & Jason,Brooklyn,Williamsburg,40.71668925,-73.96462059,Entire home/apt,225,2,44,27/04/2015,1.4,1,115
4462901,Park Slope 3 bedroom ,23155241,Amy,Brooklyn,Park Slope,40.67670392,-73.97429784,Entire home/apt,375,3,10,18/05/2015,1.5,1,292
4508592,One Bedroom Apt Near Central Park,18947953,Tiffany,Manhattan,Midtown,40.75996875,-73.96365247,Entire home/apt,295,1,1,20/05/2015,1,1,348
